x,mean,std,periodic 0,periodic 1,k at 0 periodic,k at 1.5 periodic,k at -1 periodic,gaussian 0,gaussian 1,k at 0 gaussian,k at 1.5 gaussian,k at -1 gaussian,exponential 0,exponential 1,k at 0 exponential,k at 1.5 exponential,k at -1 exponential,linear 0,linear 1,k at 0 linear,k at 1.5 linear,k at -1 linear
-3.0,0,1,-0.2448957284918519,0.5045553084335727,1.0,1.0,1.0,0.024411485856021275,-0.5009598440574078,1.0,1.0,1.522997974471263e-08,-3.7857492926536795,1.8176040798956574,1.0,1.0,0.0024787521766663585,-6.800013948096713,4.267233360241348,9.0,9.0,-9.0
-2.979933110367893,0,1,-0.22485708432348012,0.4920583372224575,0.9991173435657099,0.9991173435657099,0.9991173435657099,-0.0046866009544299725,-0.5168279123175415,0.99979868023779,0.99979868023779,1.717518886765862e-08,-3.8415899150863417,2.0090264696936124,0.9801331103708708,0.9801331103708708,0.002528995450146998,-6.754528518821992,4.238690566500364,8.939799331103679,8.939799331103679,-8.939799331103679
-2.959866220735786,0,1,-0.20424442977692006,0.4783266046682524,0.9964756000506253,0.9964756000506253,0.9964756000506253,-0.03502653727628788,-0.5323587918973508,0.9991949640964037,0.9991949640964037,1.9361046834425072e-08,-4.114078442100984,1.9982022982947043,0.9606609140452776,0.9606609140452776,0.002580257133839767,-6.7090450526450605,4.210146981791148,8.879598662207357,8.879598662207357,-8.879598662207357
-2.939799331103679,0,1,-0.18334950900265376,0.4639072671026705,0.9920933618568085,0.9920933618568085,0.9920933618568082,-0.06659561769416515,-0.5475470879477746,0.9981895805222051,0.9981895805222051,2.1816308578883873e-08,-3.9789733091647927,2.156350563370591,0.9415755696949217,0.9415755696949217,0.002632557870495191,-6.6635594284511885,4.181603295954894,8.819397993311037,8.819397993311037,-8.819397993311037
-2.919732441471572,0,1,-0.16242719332024855,0.4493185762337536,0.9860013349427157,0.9860013349427157,0.9860013349427155,-0.09938092797482838,-0.5623847807672461,0.9967837427959518,0.9967837427959518,2.457303608398658e-08,-3.870778870813725,2.2168106723124175,0.9228693917743083,0.9228693917743083,0.002685918721283746,-6.618074306250189,4.1530602113450525,8.759197324414716,8.759197324414716,-8.759197324414716
-2.899665551839465,0,1,-0.1416894348738352,0.43504007120229626,0.9782419230913101,0.9782419230913101,0.9782419230913098,-0.1333644326555252,-0.5768626225596453,0.9949791460928447,0.9949791460928447,2.766696286861732e-08,-3.5948649996539728,2.181100128039048,0.9045348474258265,0.9045348474258265,0.002740361174277058,-6.572588661115861,4.124516881192147,8.698996655518394,8.698996655518394,-8.698996655518394
-2.879598662207358,0,1,-0.12129890006175281,0.4215009339640036,0.9688686583592986,0.9688686583592986,0.9688686583592983,-0.16852559139187945,-0.5909711781239645,0.9927779640762177,0.9927779640762177,3.113789675788652e-08,-3.4664303438928417,2.2314220834308913,0.8865645534463164,0.8865645534463164,0.0027959071531010096,-6.5271034603441365,4.095973746157546,8.638795986622075,8.638795986622075,-8.638795986622075
-2.859531772575251,0,1,-0.10136638092844326,0.40907260811102475,0.9579454897290665,0.9579454897290665,0.957945489729066,-0.2048404320153035,-0.604699693881241,0.9901828445344525,0.9901828445344525,3.503016474043773e-08,-3.282246656750016,2.317692779600156,0.8689512733139002,0.8689512733139002,0.002852579025764238,-6.481618427485117,4.0674290949260525,8.578595317725753,8.578595317725753,-8.578595317725753
-2.839464882943144,0,1,-0.08194908841855394,0.3980608275354376,0.9455459447937536,0.9455459447937536,0.9455459447937531,-0.24228173579340476,-0.6180363361493684,0.9871969040733761,0.9871969040733761,3.939310407007522e-08,-3.0580093942438618,2.249135282136805,0.8516879142738817,0.8516879142738817,0.002910399613665591,-6.436133822853166,4.038886727007582,8.518394648829432,8.518394648829432,-8.518394648829432
-2.819397993311037,0,1,-0.06305287222604392,0.38870028987271904,0.9317521816797615,0.9317521816797615,0.9317521816797615,-0.2808195013082943,-0.6309690049084424,0.9838237218790339,0.9838237218790339,4.428160415307608e-08,-2.8658115624191156,2.19497217975205,0.8347675244825392,0.8347675244825392,0.0029693922007841657,-6.390648593344658,4.010343254929094,8.45819397993311,8.45819397993311,-8.45819397993311
